VFID,prefix,RA,DEC,vr,FLUX_AP06_FUV,FLUX_AP06_NUV,FLUX_AP06_G,FLUX_AP06_R,FLUX_AP06_Z,FLUX_AP06_W1,FLUX_AP06_W2,FLUX_AP06_W3,FLUX_AP06_W4,FLUX_IVAR_AP06_FUV,FLUX_IVAR_AP06_NUV,FLUX_IVAR_AP06_G,FLUX_IVAR_AP06_R,FLUX_IVAR_AP06_Z,FLUX_IVAR_AP06_W1,FLUX_IVAR_AP06_W2,FLUX_IVAR_AP06_W3,FLUX_IVAR_AP06_W4,logMstar,logSFR,logmass,logsfr
23,VFID0023-NGC2550,126.14016600000001,74.0123056,2269.4,-22.027780532836914,-125.80075073242188,29751.92578125,30007.376953125,94867.0234375,6929.32666015625,4273.00830078125,21361.798828125,34447.59765625,0.32934948801994324,0.9635998606681824,0.2037416696548462,0.08333555608987808,0.015993306413292885,0.02908114343881607,0.010922052897512913,3.837592885247432e-05,1.5651627336410456e-06,9.542949848814178,0.9982157323709583,9.64,-0.3
24,VFID0024-NGC2634,132.10595849999999,73.9671111,2258.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49,
25,VFID0025-NGC2634A,132.1589265,73.9393089,2086.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37,-0.73
26,VFID0026-CGCG332-048,141.41841599999998,73.9001194,3152.1,24.946657180786133,37.95827102661133,1157.98046875,2482.651611328125,4023.93115234375,3217.35791015625,1870.88916015625,5710.84619140625,10444.39453125,0.06271814554929733,0.08783159404993057,0.7493589520454407,0.2866559326648712,0.1025339737534523,0.09017744660377502,0.034371957182884216,0.00015895090473350137,6.377553745551268e-06,10.003029470553617,-1.2112661411722925,9.89,-0.47
27,VFID0027-UGC05689,157.6912245,73.8854228,2825.6,-9.861743927001953,83.68922424316406,1061.1048583984375,2156.907958984375,2573.7373046875,2839.47802734375,1687.841064453125,6253.51611328125,12461.302734375,0.018567539751529694,0.02902931720018387,0.12256670743227005,0.03878030925989151,0.0101928086951375,0.025230346247553825,0.006606367416679859,2.5466182705713436e-05,1.020114723360166e-06,9.823669813268136,-0.8404328067663797,9.6,-0.61
28,VFID0028-UGC04413,127.46229149999999,73.8563889,2291.7,31.02536392211914,57.525054931640625,227.16696166992188,308.5248107910156,312.6647033691406,208.28990173339844,121.96781158447266,91.33514404296875,645.1580810546875,1.2831535339355469,2.6177079677581787,6.120935440063477,2.107370615005493,0.6862627863883972,0.9452987313270569,0.29442843794822693,0.0007396664004772902,3.0253282602643594e-05,7.937868796563859,-1.098051534926916,8.75,-1.21
29,VFID0029-UGC05052,142.8079995,73.8105833,3113.1,0.0,0.0,12119.1923828125,21337.365234375,11654.1630859375,5518.5107421875,3115.05078125,18462.01171875,70239.2578125,0.0,0.0,0.102430559694767,0.04093756526708603,0.015241773799061775,0.016957389190793037,0.005509417969733477,2.2984715542406775e-05,9.180203051073477e-07,9.870871895067744,0.4733409641859354,9.92,0.36
30,VFID0030-NGC3252,158.5963845,73.7650129,1148.8,139.2818145751953,181.67604064941406,2917.857177734375,5870.2919921875,7953.94970703125,6853.166015625,4133.4287109375,16818.896484375,22500.8359375,0.0194476880133152,0.03992146998643875,0.8755950331687927,0.4187658131122589,0.08302201330661774,0.055424388498067856,0.02615310251712799,0.00018879957497119904,7.530009042966412e-06,9.396548037987133,-1.4168012260313771,9.55,-0.72
31,VFID0031-IC0529,139.63647,73.7596962,2258.5,-302.7900390625,-473.8604431152344,10810.7373046875,17991.33203125,17636.169921875,6768.771484375,3920.378662109375,29678.982421875,39778.01171875,0.3112310469150543,0.30602380633354187,0.08243069052696228,0.025108331814408302,0.007187569513916969,0.013777714222669601,0.0038143827114254236,1.2659648746193852e-05,5.074092541690334e-07,9.834102655712794,-0.7013652168755644,10.01,-0.25
32,VFID0032-UGC04502,129.9781065,73.7540147,3286.8,0.0,0.0,1294.330810546875,1922.7498779296875,1753.5955810546875,1192.3726806640625,613.92822265625,1331.32373046875,3255.411376953125,0.0,0.0,0.3911098837852478,0.08116435259580612,0.03067108429968357,0.07333200424909592,0.019878560677170753,4.491643267101608e-05,1.8021906953435973e-06,9.210318519826233,-0.8133261325002549,9.54,-1.13
33,VFID0033-UGC07844,190.2086265,73.7189281,1863.0,17.457233428955078,42.62014389038086,537.6956176757812,915.9365234375,952.3009033203125,627.1754760742188,367.0202331542969,-474.6554870605469,-790.319091796875,1.3085403442382812,1.8871183395385742,0.2625960409641266,0.10047715902328491,0.019053535535931587,0.08471545577049255,0.02079525962471962,9.16668213903904e-05,3.6436649679671973e-06,8.671728088239558,-1.8434508486682186,8.62,
34,VFID0034-UGC03909,114.24410999999999,73.7134065,944.9,258.8117370605469,361.160400390625,5531.4990234375,6082.83544921875,3494.8134765625,1618.645263671875,753.78125,180.39593505859375,-1777.8775634765625,0.007551389746367931,0.009739902801811695,0.1140015721321106,0.03283800557255745,0.02086453139781952,0.02916541136801243,0.008039546199142933,1.2048292774125002e-05,4.919942853121029e-07,8.272537777375238,-2.860750782428393,8.94,
35,VFID0035-UGC08120,194.9850765,73.6926949,1664.6,304.1421813964844,398.4825439453125,7709.41064453125,9757.7421875,4544.2109375,2171.707275390625,1067.80517578125,4169.48876953125,2980.492919921875,0.007053556386381388,0.010640283115208149,0.4168379306793213,0.056187260895967484,0.015614458359777927,0.03332691267132759,0.012650718912482262,6.71602610964328e-05,2.638629894136102e-06,9.110252917353403,-1.4250432242354931,9.33,-1.39
36,VFID0036-NGC3403,163.478541,73.6903611,1261.7,376.3411865234375,469.5502624511719,6334.087890625,12408.8134765625,13461.2548828125,7398.94921875,4156.7216796875,32396.728515625,48669.1796875,0.0034936023876070976,0.007623933721333742,0.0834762305021286,0.03977513685822487,0.006889462471008301,0.01594730094075203,0.004728265106678009,2.0272644178476185e-05,8.120466645777924e-07,9.492481010128877,-1.2027324591692836,9.71,-0.45
37,VFID0037-UGC07767,188.8853745,73.6748333,1148.0,1.1611558198928833,7.442892551422119,1136.9970703125,3535.0830078125,3561.16552734375,1591.6922607421875,825.041259765625,210.0192413330078,124.3348617553711,49.75537109375,35.748687744140625,3.1509203910827637,2.156940221786499,1.112351417541504,0.3130360245704651,0.23205268383026123,0.004233944229781628,0.00016910405247472227,8.773932647467646,-4.803823814960027,9.84,-1.97
38,VFID0038-NGC2636,132.10166700000002,73.6712778,1896.0,0.3267163038253784,2.546355724334717,383.6492004394531,827.7567138671875,1462.1595458984375,423.92999267578125,220.16851806640625,61.63103103637695,11.507613182067871,2.871046304702759,43.17054748535156,11.809903144836426,3.2970712184906006,4.242887496948242,1.296741008758545,0.8773882389068604,0.00861186720430851,0.00034444776247255504,8.887504774235378,-4.810790510417694,9.7,-2.11
39,VFID0039-UGC07745,188.6601795,73.6666935,1186.8,34.398223876953125,44.99016571044922,241.19383239746094,361.0934753417969,150.6591796875,159.4920196533203,84.53011322021484,-225.15785217285156,-217.8638458251953,2.539684295654297,4.809451580047607,1.2144746780395508,0.4905773103237152,0.13357383012771606,0.37776467204093933,0.09315896779298782,0.0003753397904802114,1.4735286640643608e-05,7.648945182165672,-2.3197551629573923,,
40,VFID0040-MCG+12-17-027,279.634545,73.6567366,1404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,-1.24
41,VFID0041-UGC04389,126.95062499999999,73.6513333,2140.0,134.0210723876953,210.5967559814453,1132.6387939453125,1738.7000732421875,1523.8359375,1187.4656982421875,657.2278442382812,1932.964111328125,3991.840576171875,0.8245765566825867,4.533637523651123,1.1400108337402344,0.27338871359825134,0.046175915747880936,0.09719835221767426,0.026808224618434906,6.256972119444981e-05,2.5948270376829896e-06,8.997692117941726,-0.7945249632591092,9.05,-1.1
42,VFID0042-KUG0823+737,127.27170000000001,73.629097,2844.5,26.137195587158203,34.56433868408203,123.56069946289062,172.6685791015625,177.45860290527344,76.94591522216797,40.69395065307617,79.41561126708984,230.65211486816406,5.034049987792969,34.40781021118164,16.24900245666504,5.322531223297119,1.3311456441879272,2.6225202083587646,0.9129735231399536,0.002213885076344013,9.149272227659822e-05,7.947237607870666,-1.5131446447230568,,
43,VFID0043-UGC07908,190.9086435,73.6133058,1667.2,63.6220588684082,97.18082427978516,1255.9178466796875,2108.87841796875,2282.737060546875,1553.4947509765625,822.9212646484375,877.081787109375,1341.426025390625,0.019309137016534805,0.05022444576025009,0.36227279901504517,0.1034047082066536,0.011361776851117611,0.06730760633945465,0.0180671326816082,7.550542068202049e-05,2.9805146368744317e-06,8.839289456006147,-1.6497519816658373,8.78,-1.9
44,VFID0044-UGC11331,279.748125,73.6099707,1519.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,-1.53
45,VFID0045-CGCG332-033,138.0624165,73.5940833,2281.0,170.18629455566406,215.87985229492188,1286.9464111328125,2120.8798828125,2549.701904296875,1624.86279296875,954.8617553710938,3275.11181640625,4177.15234375,0.020821858197450638,1.459892749786377,1.8535994291305542,0.763625979423523,0.2946142256259918,0.22734788060188293,0.10220859199762344,0.0005160325672477484,2.0781555576832034e-05,9.162265614298022,-1.0516848593106523,9.28,-0.55
46,VFID0046-NGC6654A,279.8548155,73.580134,1556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04,-0.43
47,VFID0047-IC2389,131.990334,73.5393333,2380.7,-272.82635498046875,771.112060546875,7723.75390625,8140.74951171875,4718.29248046875,3053.7900390625,1845.8956298828125,6035.51318359375,21477.345703125,0.0188328605145216,0.13208025693893433,0.08086501061916351,0.021033091470599174,0.011522151529788971,0.027924794703722,0.0075243692845106125,2.263002170366235e-05,9.190048331220169e-07,9.598133645813238,-0.9374180157718368,9.21,-0.21
48,VFID0048-UGC04390,126.96500999999999,73.5170624,2169.2,261.76324462890625,409.2482604980469,6391.27392578125,9416.2958984375,3996.8671875,1897.912353515625,926.1888427734375,4388.6005859375,3569.804931640625,0.4176599681377411,2.2728078365325928,0.3957044780254364,0.10049358010292053,0.017597246915102005,0.03543433919548988,0.009986214339733124,2.3079799575498328e-05,9.358155921290745e-07,9.304490527773488,-1.2307704182634063,9.45,-0.59
49,VFID0049-UGC03730,108.585708,73.4806204,2795.7,63.25013732910156,144.4479522705078,3206.14404296875,6075.5146484375,7940.25830078125,5093.58349609375,2801.18896484375,2477.944580078125,1478.2021484375,1.2053148746490479,2.474416494369507,1.7711766958236694,0.38043731451034546,0.2075929045677185,0.0827641636133194,0.045692428946495056,0.00027393054915592074,1.1391617590561509e-05,9.930541529864435,-0.9226320947158435,10.13,-0.59
50,VFID0050-UGC03730NED02,108.584667,73.4733889,2707.0,240.44725036621094,492.6565856933594,12059.3916015625,15135.6865234375,9963.595703125,7160.47314453125,3701.84814453125,5474.03466796875,2195.76806640625,0.18996959924697876,0.44249099493026733,0.19140248000621796,0.03824815899133682,0.011995211243629456,0.019170857965946198,0.005956776440143585,1.9286888345959596e-05,8.006513780856039e-07,10.228400358703004,-0.8693446509779694,10.07,-1.1
51,VFID0051-UGC03705,108.046542,73.4706111,2685.0,146.48304748535156,226.10972595214844,1379.08837890625,2191.791748046875,2519.313720703125,1580.2415771484375,922.250244140625,3231.015625,3673.397705078125,0.460696280002594,1.5787873268127441,2.9020187854766846,0.8057043552398682,0.27288612723350525,0.18532554805278778,0.08308245986700058,0.000484622607473284,1.9362323655514047e-05,9.299507298700487,-0.6087119514047025,9.55,-0.29
52,VFID0052-UGC10803,259.0219695,73.4360503,1253.4,0.0,406.7712707519531,5067.70849609375,9610.2734375,14442.0537109375,8758.326171875,5091.08251953125,21282.212890625,27013.6484375,0.0,0.02229492738842964,0.7107962369918823,0.3862956762313843,0.05592747777700424,0.05347302183508873,0.03281967341899872,0.0005095918313600123,2.0082854462089017e-05,9.551083865185781,-1.1985962899826448,9.71,-0.53
53,VFID0053-NGC6538,268.56899999999996,73.4239444,1337.0,0.0,317.1485290527344,2036.469970703125,3243.162109375,3381.323974609375,2438.283203125,1400.294677734375,3463.9404296875,6505.42138671875,0.0,0.0805007815361023,0.9614074230194092,0.36459288001060486,0.039061643183231354,0.12159369885921478,0.047520674765110016,0.0003161063068546355,1.2445221727830358e-05,8.863739107345218,-1.30460589170889,9.0,-0.84
54,VFID0054-NGC2551,126.20955900000001,73.4119916,2341.6,261.80902099609375,422.0872802734375,7708.36328125,18531.677734375,21863.947265625,14847.990234375,8001.578125,9171.7138671875,8148.2724609375,0.5163518786430359,2.623391628265381,0.40578189492225647,0.13887467980384827,0.027343088760972023,0.025664309039711952,0.012875176034867764,3.346737867104821e-05,1.3531254126064596e-06,10.406880670049125,-0.44369749923271273,10.36,-0.57
